date,max,average,min
2018-6-1,90,78,65
2018-6-2,86,76,66
2018-6-3,89,77,65
2018-6-4,84,75,66
2018-6-5,83,71,59
2018-6-6,88,74,59
2018-6-7,89,77,65
2018-6-8,89,78,66
2018-6-9,90,79,67
2018-6-10,90,80,69
2018-6-11,92,81,70
2018-6-12,73,70,66
2018-6-13,86,77,67
2018-6-14,93,83,72
2018-6-15,91,80,68
2018-6-16,92,80,68
2018-6-17,94,83,71
2018-6-18,96,84,71
2018-6-19,97,84,71
2018-6-20,96,85,73
2018-6-21,92,82,71
2018-6-22,92,82,71
2018-6-23,90,80,70
2018-6-24,96,85,73
2018-6-25,94,82,69
2018-6-26,86,78,70
2018-6-27,87,79,71
2018-6-28,91,81,70
2018-6-29,95,84,72
2018-6-30,94,83,72
2018-7-1,94,83,71
2018-7-2,93,84,74
2018-7-3,98,85,71
2018-7-4,93,83,73
2018-7-5,94,85,76
2018-7-6,96,84,71
2018-7-7,79,75,71
2018-7-8,86,75,63
2018-7-9,90,74,57
2018-7-10,93,78,62
2018-7-11,97,83,68
2018-7-12,94,84,73
2018-7-13,89,81,72
2018-7-14,91,81,70
2018-7-15,93,83,72
2018-7-16,90,83,75
2018-7-17,90,82,74
2018-7-18,93,82,71
2018-7-19,87,81,75
2018-7-20,88,80,71
2018-7-21,90,79,68
2018-7-22,90,79,68
2018-7-23,85,75,65
2018-7-24,87,79,70
2018-7-25,84,77,69
2018-7-26,92,80,68
2018-7-27,93,81,69
2018-7-28,91,80,69
2018-7-29,91,81,70
2018-7-30,90,82,73
2018-7-31,84,79,73
2018-8-1,87,79,70
2018-8-2,87,79,71
2018-8-3,84,78,71
2018-8-4,88,80,72
2018-8-5,93,82,70
2018-8-6,92,81,70
2018-8-7,92,81,70
2018-8-8,93,83,72
2018-8-9,91,81,70
2018-8-10,91,81,70
2018-8-11,87,79,71
2018-8-12,91,80,69
2018-8-13,88,80,72
2018-8-14,89,80,70
2018-8-15,91,80,68
2018-8-16,92,81,70
2018-8-17,90,82,73
2018-8-18,88,81,73
2018-8-19,87,81,74
2018-8-20,88,81,74
2018-8-21,86,80,73
2018-8-22,89,81,72
2018-8-23,82,74,65
2018-8-24,82,69,56
2018-8-25,87,74,60
2018-8-26,91,77,63
2018-8-27,93,81,68
2018-8-28,94,83,72
2018-8-29,94,83,72
2018-8-30,95,84,72
2018-8-31,93,82,70
2018-9-1,93,82,71
2018-9-2,92,82,71
2018-9-3,93,82,70
2018-9-4,92,83,73
2018-9-5,91,82,72
2018-9-6,94,84,73
2018-9-7,94,83,71
2018-9-8,92,82,71
2018-9-9,89,81,73
2018-9-10,86,78,70
2018-9-11,90,82,73
2018-9-12,88,81,73
2018-9-13,87,80,73
2018-9-14,83,78,72
2018-9-15,76,74,72
2018-9-16,74,73,72
2018-9-17,88,80,72
2018-9-18,89,80,70
2018-9-19,90,77,64
2018-9-20,90,79,68
2018-9-21,88,80,71
2018-9-22,89,79,69
2018-9-23,87,78,68
2018-9-24,76,72,67
2018-9-25,86,77,68
2018-9-26,88,78,67
2018-9-27,83,77,70
2018-9-28,84,77,70
2018-9-29,86,78,69
2018-9-30,82,75,68
,,,